epoch=00, total_train_time_with_sync=0.0000000, each_train_time_with_sync=0.0000000, total_train_time_wo_sync=0.0000000, each_train_time_wo_sync=0.0000000, train_loss=0.2591394, test_loss=0.2591394
epoch=01, total_train_time_with_sync=0.1108476, each_train_time_with_sync=0.1108472, total_train_time_wo_sync=0.0807901, each_train_time_wo_sync=0.0807901, train_loss=0.0511051, test_loss=0.0511051
epoch=02, total_train_time_with_sync=0.2146341, each_train_time_with_sync=0.1037864, total_train_time_wo_sync=0.1605765, each_train_time_wo_sync=0.0797864, train_loss=0.0397332, test_loss=0.0397332
epoch=03, total_train_time_with_sync=0.3176897, each_train_time_with_sync=0.1030553, total_train_time_wo_sync=0.2373138, each_train_time_wo_sync=0.0767373, train_loss=0.0352215, test_loss=0.0352215
epoch=04, total_train_time_with_sync=0.4218609, each_train_time_with_sync=0.1041711, total_train_time_wo_sync=0.3174601, each_train_time_wo_sync=0.0801463, train_loss=0.0324438, test_loss=0.0324438
epoch=05, total_train_time_with_sync=0.5260527, each_train_time_with_sync=0.1041917, total_train_time_wo_sync=0.3969500, each_train_time_wo_sync=0.0794899, train_loss=0.0304129, test_loss=0.0304129
epoch=06, total_train_time_with_sync=0.6402013, each_train_time_with_sync=0.1141484, total_train_time_wo_sync=0.4775642, each_train_time_wo_sync=0.0806142, train_loss=0.0288086, test_loss=0.0288086
epoch=07, total_train_time_with_sync=0.7514445, each_train_time_with_sync=0.1112430, total_train_time_wo_sync=0.5585076, each_train_time_wo_sync=0.0809434, train_loss=0.0274872, test_loss=0.0274872
epoch=08, total_train_time_with_sync=0.8562626, each_train_time_with_sync=0.1048180, total_train_time_wo_sync=0.6384709, each_train_time_wo_sync=0.0799633, train_loss=0.0263652, test_loss=0.0263652
epoch=09, total_train_time_with_sync=0.9665744, each_train_time_with_sync=0.1103116, total_train_time_wo_sync=0.7187176, each_train_time_wo_sync=0.0802467, train_loss=0.0253886, test_loss=0.0253886
epoch=10, total_train_time_with_sync=1.0748660, each_train_time_with_sync=0.1082914, total_train_time_wo_sync=0.8008689, each_train_time_wo_sync=0.0821513, train_loss=0.0245341, test_loss=0.0245341
epoch=11, total_train_time_with_sync=1.1863030, each_train_time_with_sync=0.1114369, total_train_time_wo_sync=0.8813140, each_train_time_wo_sync=0.0804451, train_loss=0.0237685, test_loss=0.0237685
epoch=12, total_train_time_with_sync=1.2908507, each_train_time_with_sync=0.1045476, total_train_time_wo_sync=0.9588650, each_train_time_wo_sync=0.0775510, train_loss=0.0230815, test_loss=0.0230815
epoch=13, total_train_time_with_sync=1.4040135, each_train_time_with_sync=0.1131626, total_train_time_wo_sync=1.0387187, each_train_time_wo_sync=0.0798537, train_loss=0.0224551, test_loss=0.0224551
epoch=14, total_train_time_with_sync=1.5141903, each_train_time_with_sync=0.1101766, total_train_time_wo_sync=1.1188049, each_train_time_wo_sync=0.0800862, train_loss=0.0218834, test_loss=0.0218834
epoch=15, total_train_time_with_sync=1.6273743, each_train_time_with_sync=0.1131839, total_train_time_wo_sync=1.1992915, each_train_time_wo_sync=0.0804866, train_loss=0.0213548, test_loss=0.0213548
epoch=16, total_train_time_with_sync=1.7410462, each_train_time_with_sync=0.1136718, total_train_time_wo_sync=1.2802628, each_train_time_wo_sync=0.0809714, train_loss=0.0208676, test_loss=0.0208676
epoch=17, total_train_time_with_sync=1.8553007, each_train_time_with_sync=0.1142543, total_train_time_wo_sync=1.3613167, each_train_time_wo_sync=0.0810538, train_loss=0.0204082, test_loss=0.0204082
epoch=18, total_train_time_with_sync=1.9587675, each_train_time_with_sync=0.1034666, total_train_time_wo_sync=1.4408534, each_train_time_wo_sync=0.0795367, train_loss=0.0199826, test_loss=0.0199826
epoch=19, total_train_time_with_sync=2.0686050, each_train_time_with_sync=0.1098373, total_train_time_wo_sync=1.5206974, each_train_time_wo_sync=0.0798440, train_loss=0.0195843, test_loss=0.0195843
epoch=20, total_train_time_with_sync=2.1719258, each_train_time_with_sync=0.1033207, total_train_time_wo_sync=1.6018125, each_train_time_wo_sync=0.0811152, train_loss=0.0192085, test_loss=0.0192085
epoch=21, total_train_time_with_sync=2.2854429, each_train_time_with_sync=0.1135169, total_train_time_wo_sync=1.6839464, each_train_time_wo_sync=0.0821339, train_loss=0.0188518, test_loss=0.0188518
epoch=22, total_train_time_with_sync=2.3917395, each_train_time_with_sync=0.1062963, total_train_time_wo_sync=1.7637661, each_train_time_wo_sync=0.0798197, train_loss=0.0185146, test_loss=0.0185146
epoch=23, total_train_time_with_sync=2.5010112, each_train_time_with_sync=0.1092715, total_train_time_wo_sync=1.8432013, each_train_time_wo_sync=0.0794352, train_loss=0.0182020, test_loss=0.0182020
epoch=24, total_train_time_with_sync=2.6109560, each_train_time_with_sync=0.1099446, total_train_time_wo_sync=1.9236903, each_train_time_wo_sync=0.0804891, train_loss=0.0178908, test_loss=0.0178908
epoch=25, total_train_time_with_sync=2.7323145, each_train_time_with_sync=0.1213584, total_train_time_wo_sync=2.0072314, each_train_time_wo_sync=0.0835411, train_loss=0.0176084, test_loss=0.0176084
epoch=26, total_train_time_with_sync=2.8358405, each_train_time_with_sync=0.1035256, total_train_time_wo_sync=2.0868148, each_train_time_wo_sync=0.0795834, train_loss=0.0173248, test_loss=0.0173248
epoch=27, total_train_time_with_sync=2.9394752, each_train_time_with_sync=0.1036345, total_train_time_wo_sync=2.1664901, each_train_time_wo_sync=0.0796752, train_loss=0.0170617, test_loss=0.0170617
epoch=28, total_train_time_with_sync=3.0425223, each_train_time_with_sync=0.1030469, total_train_time_wo_sync=2.2461437, each_train_time_wo_sync=0.0796536, train_loss=0.0168082, test_loss=0.0168082
epoch=29, total_train_time_with_sync=3.1456013, each_train_time_with_sync=0.1030788, total_train_time_wo_sync=2.3255051, each_train_time_wo_sync=0.0793614, train_loss=0.0165648, test_loss=0.0165648
epoch=30, total_train_time_with_sync=3.2486844, each_train_time_with_sync=0.1030830, total_train_time_wo_sync=2.4049802, each_train_time_wo_sync=0.0794751, train_loss=0.0163362, test_loss=0.0163362
epoch=31, total_train_time_with_sync=3.3596505, each_train_time_with_sync=0.1109659, total_train_time_wo_sync=2.4852088, each_train_time_wo_sync=0.0802286, train_loss=0.0161086, test_loss=0.0161086
epoch=32, total_train_time_with_sync=3.4637942, each_train_time_with_sync=0.1041436, total_train_time_wo_sync=2.5644676, each_train_time_wo_sync=0.0792587, train_loss=0.0158904, test_loss=0.0158904
epoch=33, total_train_time_with_sync=3.5671948, each_train_time_with_sync=0.1034004, total_train_time_wo_sync=2.6449283, each_train_time_wo_sync=0.0804607, train_loss=0.0156815, test_loss=0.0156815
epoch=34, total_train_time_with_sync=3.6810779, each_train_time_with_sync=0.1138829, total_train_time_wo_sync=2.7259171, each_train_time_wo_sync=0.0809888, train_loss=0.0154787, test_loss=0.0154787
epoch=35, total_train_time_with_sync=3.8063536, each_train_time_with_sync=0.1252756, total_train_time_wo_sync=2.8102886, each_train_time_wo_sync=0.0843715, train_loss=0.0152904, test_loss=0.0152904
epoch=36, total_train_time_with_sync=3.9309503, each_train_time_with_sync=0.1245966, total_train_time_wo_sync=2.8945041, each_train_time_wo_sync=0.0842155, train_loss=0.0150946, test_loss=0.0150946
epoch=37, total_train_time_with_sync=4.0413025, each_train_time_with_sync=0.1103520, total_train_time_wo_sync=2.9746982, each_train_time_wo_sync=0.0801941, train_loss=0.0149150, test_loss=0.0149150
epoch=38, total_train_time_with_sync=4.1520904, each_train_time_with_sync=0.1107877, total_train_time_wo_sync=3.0548076, each_train_time_wo_sync=0.0801094, train_loss=0.0147352, test_loss=0.0147352
epoch=39, total_train_time_with_sync=4.2640361, each_train_time_with_sync=0.1119455, total_train_time_wo_sync=3.1353435, each_train_time_wo_sync=0.0805359, train_loss=0.0145635, test_loss=0.0145635
epoch=40, total_train_time_with_sync=4.3776182, each_train_time_with_sync=0.1135819, total_train_time_wo_sync=3.2157501, each_train_time_wo_sync=0.0804066, train_loss=0.0144054, test_loss=0.0144054
