epoch=00, total_train_time_with_sync=0.0000000, each_train_time_with_sync=0.0000000, total_train_time_wo_sync=0.0000000, each_train_time_wo_sync=0.0000000, train_loss=0.2591394, test_loss=0.2591394
epoch=01, total_train_time_with_sync=0.0619078, each_train_time_with_sync=0.0619077, total_train_time_wo_sync=0.0429652, each_train_time_wo_sync=0.0429652, train_loss=0.1024260, test_loss=0.1024260
epoch=02, total_train_time_with_sync=0.1230058, each_train_time_with_sync=0.0610978, total_train_time_wo_sync=0.0853903, each_train_time_wo_sync=0.0424251, train_loss=0.0753388, test_loss=0.0753388
epoch=03, total_train_time_with_sync=0.1866777, each_train_time_with_sync=0.0636718, total_train_time_wo_sync=0.1309164, each_train_time_wo_sync=0.0455261, train_loss=0.0628786, test_loss=0.0628785
epoch=04, total_train_time_with_sync=0.2482885, each_train_time_with_sync=0.0616106, total_train_time_wo_sync=0.1741513, each_train_time_wo_sync=0.0432349, train_loss=0.0554132, test_loss=0.0554132
epoch=05, total_train_time_with_sync=0.3104118, each_train_time_with_sync=0.0621232, total_train_time_wo_sync=0.2185517, each_train_time_wo_sync=0.0444004, train_loss=0.0504765, test_loss=0.0504765
epoch=06, total_train_time_with_sync=0.3732368, each_train_time_with_sync=0.0628249, total_train_time_wo_sync=0.2619846, each_train_time_wo_sync=0.0434330, train_loss=0.0469917, test_loss=0.0469917
epoch=07, total_train_time_with_sync=0.4400573, each_train_time_with_sync=0.0668204, total_train_time_wo_sync=0.3067491, each_train_time_wo_sync=0.0447644, train_loss=0.0444043, test_loss=0.0444043
epoch=08, total_train_time_with_sync=0.5027073, each_train_time_with_sync=0.0626498, total_train_time_wo_sync=0.3513339, each_train_time_wo_sync=0.0445848, train_loss=0.0424014, test_loss=0.0424014
epoch=09, total_train_time_with_sync=0.5689056, each_train_time_with_sync=0.0661982, total_train_time_wo_sync=0.3970422, each_train_time_wo_sync=0.0457083, train_loss=0.0407950, test_loss=0.0407950
epoch=10, total_train_time_with_sync=0.6315290, each_train_time_with_sync=0.0626233, total_train_time_wo_sync=0.4414032, each_train_time_wo_sync=0.0443610, train_loss=0.0394672, test_loss=0.0394672
