epoch=00, total_train_time_with_sync=0.0000000, each_train_time_with_sync=0.0000000, total_train_time_wo_sync=0.0000000, each_train_time_wo_sync=0.0000000, train_loss=0.2591394, test_loss=0.2591394
epoch=01, total_train_time_with_sync=0.1619220, each_train_time_with_sync=0.1619219, total_train_time_wo_sync=0.1190983, each_train_time_wo_sync=0.1190983, train_loss=0.0501940, test_loss=0.0501940
epoch=02, total_train_time_with_sync=0.3215225, each_train_time_with_sync=0.1596004, total_train_time_wo_sync=0.2370880, each_train_time_wo_sync=0.1179897, train_loss=0.0393376, test_loss=0.0393376
epoch=03, total_train_time_with_sync=0.4777703, each_train_time_with_sync=0.1562477, total_train_time_wo_sync=0.3556744, each_train_time_wo_sync=0.1185863, train_loss=0.0349583, test_loss=0.0349583
epoch=04, total_train_time_with_sync=0.6403383, each_train_time_with_sync=0.1625679, total_train_time_wo_sync=0.4766756, each_train_time_wo_sync=0.1210012, train_loss=0.0322074, test_loss=0.0322074
epoch=05, total_train_time_with_sync=0.8030155, each_train_time_with_sync=0.1626770, total_train_time_wo_sync=0.5958835, each_train_time_wo_sync=0.1192079, train_loss=0.0302009, test_loss=0.0302009
epoch=06, total_train_time_with_sync=0.9646991, each_train_time_with_sync=0.1616835, total_train_time_wo_sync=0.7145824, each_train_time_wo_sync=0.1186989, train_loss=0.0286089, test_loss=0.0286089
epoch=07, total_train_time_with_sync=1.1252007, each_train_time_with_sync=0.1605015, total_train_time_wo_sync=0.8327684, each_train_time_wo_sync=0.1181860, train_loss=0.0272788, test_loss=0.0272789
epoch=08, total_train_time_with_sync=1.2851203, each_train_time_with_sync=0.1599195, total_train_time_wo_sync=0.9512401, each_train_time_wo_sync=0.1184717, train_loss=0.0261655, test_loss=0.0261655
epoch=09, total_train_time_with_sync=1.4475878, each_train_time_with_sync=0.1624674, total_train_time_wo_sync=1.0705592, each_train_time_wo_sync=0.1193191, train_loss=0.0251994, test_loss=0.0251994
epoch=10, total_train_time_with_sync=1.6104279, each_train_time_with_sync=0.1628399, total_train_time_wo_sync=1.1899655, each_train_time_wo_sync=0.1194063, train_loss=0.0243657, test_loss=0.0243657
epoch=11, total_train_time_with_sync=1.7725748, each_train_time_with_sync=0.1621468, total_train_time_wo_sync=1.3105902, each_train_time_wo_sync=0.1206247, train_loss=0.0235909, test_loss=0.0235909
epoch=12, total_train_time_with_sync=1.9463528, each_train_time_with_sync=0.1737779, total_train_time_wo_sync=1.4325787, each_train_time_wo_sync=0.1219884, train_loss=0.0229108, test_loss=0.0229108
epoch=13, total_train_time_with_sync=2.1041571, each_train_time_with_sync=0.1578041, total_train_time_wo_sync=1.5508587, each_train_time_wo_sync=0.1182801, train_loss=0.0222882, test_loss=0.0222882
epoch=14, total_train_time_with_sync=2.2674750, each_train_time_with_sync=0.1633178, total_train_time_wo_sync=1.6704760, each_train_time_wo_sync=0.1196173, train_loss=0.0217218, test_loss=0.0217218
epoch=15, total_train_time_with_sync=2.4257916, each_train_time_with_sync=0.1583165, total_train_time_wo_sync=1.7886273, each_train_time_wo_sync=0.1181513, train_loss=0.0211941, test_loss=0.0211941
epoch=16, total_train_time_with_sync=2.5874819, each_train_time_with_sync=0.1616901, total_train_time_wo_sync=1.9071114, each_train_time_wo_sync=0.1184841, train_loss=0.0207090, test_loss=0.0207090
epoch=17, total_train_time_with_sync=2.7494114, each_train_time_with_sync=0.1619295, total_train_time_wo_sync=2.0264361, each_train_time_wo_sync=0.1193247, train_loss=0.0202643, test_loss=0.0202643
epoch=18, total_train_time_with_sync=2.9125297, each_train_time_with_sync=0.1631181, total_train_time_wo_sync=2.1474015, each_train_time_wo_sync=0.1209654, train_loss=0.0198395, test_loss=0.0198395
epoch=19, total_train_time_with_sync=3.0756537, each_train_time_with_sync=0.1631239, total_train_time_wo_sync=2.2661529, each_train_time_wo_sync=0.1187513, train_loss=0.0194405, test_loss=0.0194405
epoch=20, total_train_time_with_sync=3.2424083, each_train_time_with_sync=0.1667545, total_train_time_wo_sync=2.3878863, each_train_time_wo_sync=0.1217334, train_loss=0.0190629, test_loss=0.0190629
epoch=21, total_train_time_with_sync=3.4078770, each_train_time_with_sync=0.1654686, total_train_time_wo_sync=2.5078086, each_train_time_wo_sync=0.1199223, train_loss=0.0187096, test_loss=0.0187096
epoch=22, total_train_time_with_sync=3.5711552, each_train_time_with_sync=0.1632781, total_train_time_wo_sync=2.6273694, each_train_time_wo_sync=0.1195608, train_loss=0.0183756, test_loss=0.0183756
epoch=23, total_train_time_with_sync=3.7302635, each_train_time_with_sync=0.1591082, total_train_time_wo_sync=2.7455669, each_train_time_wo_sync=0.1181974, train_loss=0.0180598, test_loss=0.0180598
epoch=24, total_train_time_with_sync=3.8950004, each_train_time_with_sync=0.1647367, total_train_time_wo_sync=2.8650418, each_train_time_wo_sync=0.1194749, train_loss=0.0177563, test_loss=0.0177563
epoch=25, total_train_time_with_sync=4.0586328, each_train_time_with_sync=0.1636323, total_train_time_wo_sync=2.9860928, each_train_time_wo_sync=0.1210510, train_loss=0.0174680, test_loss=0.0174680
epoch=26, total_train_time_with_sync=4.2182889, each_train_time_with_sync=0.1596560, total_train_time_wo_sync=3.1045082, each_train_time_wo_sync=0.1184153, train_loss=0.0171928, test_loss=0.0171928
epoch=27, total_train_time_with_sync=4.3808201, each_train_time_with_sync=0.1625310, total_train_time_wo_sync=3.2238556, each_train_time_wo_sync=0.1193474, train_loss=0.0169316, test_loss=0.0169316
epoch=28, total_train_time_with_sync=4.5402204, each_train_time_with_sync=0.1594002, total_train_time_wo_sync=3.3419212, each_train_time_wo_sync=0.1180656, train_loss=0.0166827, test_loss=0.0166827
epoch=29, total_train_time_with_sync=4.6973023, each_train_time_with_sync=0.1570818, total_train_time_wo_sync=3.4604042, each_train_time_wo_sync=0.1184830, train_loss=0.0164352, test_loss=0.0164352
epoch=30, total_train_time_with_sync=4.8718704, each_train_time_with_sync=0.1745680, total_train_time_wo_sync=3.5841678, each_train_time_wo_sync=0.1237636, train_loss=0.0162074, test_loss=0.0162074
epoch=31, total_train_time_with_sync=5.0341890, each_train_time_with_sync=0.1623184, total_train_time_wo_sync=3.7035174, each_train_time_wo_sync=0.1193496, train_loss=0.0159794, test_loss=0.0159794
epoch=32, total_train_time_with_sync=5.1961366, each_train_time_with_sync=0.1619475, total_train_time_wo_sync=3.8240904, each_train_time_wo_sync=0.1205730, train_loss=0.0157686, test_loss=0.0157686
epoch=33, total_train_time_with_sync=5.3698417, each_train_time_with_sync=0.1737050, total_train_time_wo_sync=3.9462758, each_train_time_wo_sync=0.1221854, train_loss=0.0155617, test_loss=0.0155617
epoch=34, total_train_time_with_sync=5.5284370, each_train_time_with_sync=0.1585952, total_train_time_wo_sync=4.0642307, each_train_time_wo_sync=0.1179549, train_loss=0.0153555, test_loss=0.0153555
epoch=35, total_train_time_with_sync=5.6899656, each_train_time_with_sync=0.1615285, total_train_time_wo_sync=4.1834333, each_train_time_wo_sync=0.1192026, train_loss=0.0151640, test_loss=0.0151640
epoch=36, total_train_time_with_sync=5.8507573, each_train_time_with_sync=0.1607916, total_train_time_wo_sync=4.3019031, each_train_time_wo_sync=0.1184698, train_loss=0.0149768, test_loss=0.0149768
epoch=37, total_train_time_with_sync=6.0144473, each_train_time_with_sync=0.1636899, total_train_time_wo_sync=4.4230650, each_train_time_wo_sync=0.1211619, train_loss=0.0147930, test_loss=0.0147929
epoch=38, total_train_time_with_sync=6.1769531, each_train_time_with_sync=0.1625057, total_train_time_wo_sync=4.5424127, each_train_time_wo_sync=0.1193478, train_loss=0.0146210, test_loss=0.0146210
epoch=39, total_train_time_with_sync=6.3383719, each_train_time_with_sync=0.1614187, total_train_time_wo_sync=4.6610857, each_train_time_wo_sync=0.1186729, train_loss=0.0144476, test_loss=0.0144476
epoch=40, total_train_time_with_sync=6.5117007, each_train_time_with_sync=0.1733287, total_train_time_wo_sync=4.7824376, each_train_time_wo_sync=0.1213519, train_loss=0.0142819, test_loss=0.0142819

