epoch=00, total_train_time_with_sync=0.0000000, each_train_time_with_sync=0.0000000, total_train_time_wo_sync=0.0000000, each_train_time_wo_sync=0.0000000, train_loss=0.2591394, test_loss=0.2591394
epoch=01, total_train_time_with_sync=0.1243631, each_train_time_with_sync=0.1243629, total_train_time_wo_sync=0.0901273, each_train_time_wo_sync=0.0901273, train_loss=0.0501941, test_loss=0.0501941
epoch=02, total_train_time_with_sync=0.2492826, each_train_time_with_sync=0.1249193, total_train_time_wo_sync=0.1800582, each_train_time_wo_sync=0.0899309, train_loss=0.0393352, test_loss=0.0393352
epoch=03, total_train_time_with_sync=0.3716123, each_train_time_with_sync=0.1223296, total_train_time_wo_sync=0.2698314, each_train_time_wo_sync=0.0897732, train_loss=0.0349523, test_loss=0.0349523
epoch=04, total_train_time_with_sync=0.4959438, each_train_time_with_sync=0.1243314, total_train_time_wo_sync=0.3611233, each_train_time_wo_sync=0.0912919, train_loss=0.0322050, test_loss=0.0322050
epoch=05, total_train_time_with_sync=0.6177447, each_train_time_with_sync=0.1218007, total_train_time_wo_sync=0.4514939, each_train_time_wo_sync=0.0903706, train_loss=0.0301926, test_loss=0.0301926
epoch=06, total_train_time_with_sync=0.7411622, each_train_time_with_sync=0.1234174, total_train_time_wo_sync=0.5425463, each_train_time_wo_sync=0.0910524, train_loss=0.0285952, test_loss=0.0285952
epoch=07, total_train_time_with_sync=0.8673655, each_train_time_with_sync=0.1262031, total_train_time_wo_sync=0.6341705, each_train_time_wo_sync=0.0916243, train_loss=0.0272819, test_loss=0.0272819
epoch=08, total_train_time_with_sync=0.9934842, each_train_time_with_sync=0.1261185, total_train_time_wo_sync=0.7248398, each_train_time_wo_sync=0.0906693, train_loss=0.0261752, test_loss=0.0261752
epoch=09, total_train_time_with_sync=1.1162714, each_train_time_with_sync=0.1227870, total_train_time_wo_sync=0.8154879, each_train_time_wo_sync=0.0906481, train_loss=0.0252009, test_loss=0.0252009
epoch=10, total_train_time_with_sync=1.2416718, each_train_time_with_sync=0.1254003, total_train_time_wo_sync=0.9055116, each_train_time_wo_sync=0.0900236, train_loss=0.0243498, test_loss=0.0243498
epoch=11, total_train_time_with_sync=1.3660770, each_train_time_with_sync=0.1244050, total_train_time_wo_sync=0.9968172, each_train_time_wo_sync=0.0913056, train_loss=0.0235907, test_loss=0.0235907
epoch=12, total_train_time_with_sync=1.4896059, each_train_time_with_sync=0.1235288, total_train_time_wo_sync=1.0877530, each_train_time_wo_sync=0.0909358, train_loss=0.0229096, test_loss=0.0229096
epoch=13, total_train_time_with_sync=1.6138699, each_train_time_with_sync=0.1242638, total_train_time_wo_sync=1.1784610, each_train_time_wo_sync=0.0907081, train_loss=0.0222882, test_loss=0.0222882
epoch=14, total_train_time_with_sync=1.7386140, each_train_time_with_sync=0.1247439, total_train_time_wo_sync=1.2697549, each_train_time_wo_sync=0.0912939, train_loss=0.0217175, test_loss=0.0217175
epoch=15, total_train_time_with_sync=1.8630572, each_train_time_with_sync=0.1244431, total_train_time_wo_sync=1.3609353, each_train_time_wo_sync=0.0911804, train_loss=0.0211958, test_loss=0.0211958
epoch=16, total_train_time_with_sync=1.9860849, each_train_time_with_sync=0.1230276, total_train_time_wo_sync=1.4515790, each_train_time_wo_sync=0.0906436, train_loss=0.0207069, test_loss=0.0207069
epoch=17, total_train_time_with_sync=2.1102020, each_train_time_with_sync=0.1241170, total_train_time_wo_sync=1.5422337, each_train_time_wo_sync=0.0906547, train_loss=0.0202555, test_loss=0.0202555
epoch=18, total_train_time_with_sync=2.2336137, each_train_time_with_sync=0.1234116, total_train_time_wo_sync=1.6330813, each_train_time_wo_sync=0.0908476, train_loss=0.0198327, test_loss=0.0198327
epoch=19, total_train_time_with_sync=2.3583648, each_train_time_with_sync=0.1247509, total_train_time_wo_sync=1.7254989, each_train_time_wo_sync=0.0924176, train_loss=0.0194381, test_loss=0.0194381
epoch=20, total_train_time_with_sync=2.4822499, each_train_time_with_sync=0.1238849, total_train_time_wo_sync=1.8161649, each_train_time_wo_sync=0.0906660, train_loss=0.0190635, test_loss=0.0190635
