epoch=00, total_train_time_with_sync=0.0000000, each_train_time_with_sync=0.0000000, total_train_time_wo_sync=0.0000000, each_train_time_wo_sync=0.0000000, train_loss=0.2591394, test_loss=0.2591394
epoch=01, total_train_time_with_sync=0.0547889, each_train_time_with_sync=0.0547887, total_train_time_wo_sync=0.0343470, each_train_time_wo_sync=0.0343470, train_loss=0.1046667, test_loss=0.1046667
epoch=02, total_train_time_with_sync=0.1023639, each_train_time_with_sync=0.0475749, total_train_time_wo_sync=0.0670393, each_train_time_wo_sync=0.0326923, train_loss=0.0768645, test_loss=0.0768645
epoch=03, total_train_time_with_sync=0.1604763, each_train_time_with_sync=0.0581123, total_train_time_wo_sync=0.1027080, each_train_time_wo_sync=0.0356687, train_loss=0.0641404, test_loss=0.0641404
epoch=04, total_train_time_with_sync=0.2074773, each_train_time_with_sync=0.0470008, total_train_time_wo_sync=0.1351808, each_train_time_wo_sync=0.0324729, train_loss=0.0564380, test_loss=0.0564380
epoch=05, total_train_time_with_sync=0.2660644, each_train_time_with_sync=0.0585869, total_train_time_wo_sync=0.1668272, each_train_time_wo_sync=0.0316463, train_loss=0.0513027, test_loss=0.0513027
epoch=06, total_train_time_with_sync=0.3110806, each_train_time_with_sync=0.0450161, total_train_time_wo_sync=0.1993764, each_train_time_wo_sync=0.0325492, train_loss=0.0476633, test_loss=0.0476633
epoch=07, total_train_time_with_sync=0.3697168, each_train_time_with_sync=0.0586361, total_train_time_wo_sync=0.2335986, each_train_time_wo_sync=0.0342223, train_loss=0.0449592, test_loss=0.0449592
epoch=08, total_train_time_with_sync=0.4165608, each_train_time_with_sync=0.0468438, total_train_time_wo_sync=0.2665924, each_train_time_wo_sync=0.0329938, train_loss=0.0428695, test_loss=0.0428695
epoch=09, total_train_time_with_sync=0.4586988, each_train_time_with_sync=0.0421379, total_train_time_wo_sync=0.2967142, each_train_time_wo_sync=0.0301218, train_loss=0.0411990, test_loss=0.0411990
epoch=10, total_train_time_with_sync=0.5141276, each_train_time_with_sync=0.0554286, total_train_time_wo_sync=0.3312547, each_train_time_wo_sync=0.0345404, train_loss=0.0398239, test_loss=0.0398239
epoch=11, total_train_time_with_sync=0.5610395, each_train_time_with_sync=0.0469118, total_train_time_wo_sync=0.3633384, each_train_time_wo_sync=0.0320837, train_loss=0.0386631, test_loss=0.0386631
epoch=12, total_train_time_with_sync=0.6084719, each_train_time_with_sync=0.0474323, total_train_time_wo_sync=0.3959808, each_train_time_wo_sync=0.0326424, train_loss=0.0376620, test_loss=0.0376620
epoch=13, total_train_time_with_sync=0.6673137, each_train_time_with_sync=0.0588417, total_train_time_wo_sync=0.4342689, each_train_time_wo_sync=0.0382881, train_loss=0.0367828, test_loss=0.0367828
epoch=14, total_train_time_with_sync=0.7243815, each_train_time_with_sync=0.0570676, total_train_time_wo_sync=0.4709949, each_train_time_wo_sync=0.0367260, train_loss=0.0359989, test_loss=0.0359989
epoch=15, total_train_time_with_sync=0.7693805, each_train_time_with_sync=0.0449989, total_train_time_wo_sync=0.5037226, each_train_time_wo_sync=0.0327277, train_loss=0.0352913, test_loss=0.0352913
epoch=16, total_train_time_with_sync=0.8275189, each_train_time_with_sync=0.0581382, total_train_time_wo_sync=0.5380574, each_train_time_wo_sync=0.0343348, train_loss=0.0346459, test_loss=0.0346459
epoch=17, total_train_time_with_sync=0.8731869, each_train_time_with_sync=0.0456679, total_train_time_wo_sync=0.5715240, each_train_time_wo_sync=0.0334666, train_loss=0.0340521, test_loss=0.0340521
epoch=18, total_train_time_with_sync=0.9183806, each_train_time_with_sync=0.0451936, total_train_time_wo_sync=0.6042286, each_train_time_wo_sync=0.0327046, train_loss=0.0335020, test_loss=0.0335020
epoch=19, total_train_time_with_sync=0.9640519, each_train_time_with_sync=0.0456712, total_train_time_wo_sync=0.6383761, each_train_time_wo_sync=0.0341475, train_loss=0.0329893, test_loss=0.0329893
epoch=20, total_train_time_with_sync=1.0099912, each_train_time_with_sync=0.0459392, total_train_time_wo_sync=0.6699397, each_train_time_wo_sync=0.0315636, train_loss=0.0325090, test_loss=0.0325090
epoch=21, total_train_time_with_sync=1.0568128, each_train_time_with_sync=0.0468214, total_train_time_wo_sync=0.7029828, each_train_time_wo_sync=0.0330431, train_loss=0.0320571, test_loss=0.0320571
epoch=22, total_train_time_with_sync=1.1023598, each_train_time_with_sync=0.0455469, total_train_time_wo_sync=0.7358246, each_train_time_wo_sync=0.0328418, train_loss=0.0316304, test_loss=0.0316304
epoch=23, total_train_time_with_sync=1.1564775, each_train_time_with_sync=0.0541175, total_train_time_wo_sync=0.7677539, each_train_time_wo_sync=0.0319293, train_loss=0.0312261, test_loss=0.0312261
epoch=24, total_train_time_with_sync=1.2144369, each_train_time_with_sync=0.0579593, total_train_time_wo_sync=0.8022573, each_train_time_wo_sync=0.0345034, train_loss=0.0308420, test_loss=0.0308420
epoch=25, total_train_time_with_sync=1.2662092, each_train_time_with_sync=0.0517722, total_train_time_wo_sync=0.8355153, each_train_time_wo_sync=0.0332580, train_loss=0.0304763, test_loss=0.0304763
epoch=26, total_train_time_with_sync=1.3231813, each_train_time_with_sync=0.0569720, total_train_time_wo_sync=0.8703000, each_train_time_wo_sync=0.0347847, train_loss=0.0301272, test_loss=0.0301272
epoch=27, total_train_time_with_sync=1.3799842, each_train_time_with_sync=0.0568028, total_train_time_wo_sync=0.9031296, each_train_time_wo_sync=0.0328296, train_loss=0.0297933, test_loss=0.0297933
epoch=28, total_train_time_with_sync=1.4253028, each_train_time_with_sync=0.0453184, total_train_time_wo_sync=0.9355605, each_train_time_wo_sync=0.0324309, train_loss=0.0294734, test_loss=0.0294734
epoch=29, total_train_time_with_sync=1.4724341, each_train_time_with_sync=0.0471312, total_train_time_wo_sync=0.9689303, each_train_time_wo_sync=0.0333698, train_loss=0.0291664, test_loss=0.0291664
epoch=30, total_train_time_with_sync=1.5171544, each_train_time_with_sync=0.0447202, total_train_time_wo_sync=1.0006659, each_train_time_wo_sync=0.0317356, train_loss=0.0288713, test_loss=0.0288713
epoch=31, total_train_time_with_sync=1.5676736, each_train_time_with_sync=0.0505191, total_train_time_wo_sync=1.0337964, each_train_time_wo_sync=0.0331306, train_loss=0.0285873, test_loss=0.0285873
epoch=32, total_train_time_with_sync=1.6261699, each_train_time_with_sync=0.0584961, total_train_time_wo_sync=1.0708517, each_train_time_wo_sync=0.0370553, train_loss=0.0283136, test_loss=0.0283136
epoch=33, total_train_time_with_sync=1.6844215, each_train_time_with_sync=0.0582515, total_train_time_wo_sync=1.1050372, each_train_time_wo_sync=0.0341854, train_loss=0.0280495, test_loss=0.0280495
epoch=34, total_train_time_with_sync=1.7380416, each_train_time_with_sync=0.0536199, total_train_time_wo_sync=1.1398300, each_train_time_wo_sync=0.0347929, train_loss=0.0277944, test_loss=0.0277944
epoch=35, total_train_time_with_sync=1.7960970, each_train_time_with_sync=0.0580553, total_train_time_wo_sync=1.1756927, each_train_time_wo_sync=0.0358627, train_loss=0.0275477, test_loss=0.0275477
epoch=36, total_train_time_with_sync=1.8431247, each_train_time_with_sync=0.0470276, total_train_time_wo_sync=1.2074227, each_train_time_wo_sync=0.0317300, train_loss=0.0273090, test_loss=0.0273090
epoch=37, total_train_time_with_sync=1.8898165, each_train_time_with_sync=0.0466916, total_train_time_wo_sync=1.2412304, each_train_time_wo_sync=0.0338077, train_loss=0.0270778, test_loss=0.0270778
epoch=38, total_train_time_with_sync=1.9363431, each_train_time_with_sync=0.0465265, total_train_time_wo_sync=1.2748943, each_train_time_wo_sync=0.0336638, train_loss=0.0268535, test_loss=0.0268535
epoch=39, total_train_time_with_sync=1.9815763, each_train_time_with_sync=0.0452330, total_train_time_wo_sync=1.3078775, each_train_time_wo_sync=0.0329832, train_loss=0.0266359, test_loss=0.0266359
epoch=40, total_train_time_with_sync=2.0277335, each_train_time_with_sync=0.0461571, total_train_time_wo_sync=1.3397660, each_train_time_wo_sync=0.0318885, train_loss=0.0264246, test_loss=0.0264246
