epoch=00, total_train_time_with_sync=0.0000000, each_train_time_with_sync=0.0000000, total_train_time_wo_sync=0.0000000, each_train_time_wo_sync=0.0000000, train_loss=0.2591394, test_loss=0.2591394
epoch=01, total_train_time_with_sync=0.1022061, each_train_time_with_sync=0.1022060, total_train_time_wo_sync=0.0709791, each_train_time_wo_sync=0.0709791, train_loss=0.1024767, test_loss=0.1024767
epoch=02, total_train_time_with_sync=0.1915955, each_train_time_with_sync=0.0893892, total_train_time_wo_sync=0.1410698, each_train_time_wo_sync=0.0700906, train_loss=0.0753710, test_loss=0.0753709
epoch=03, total_train_time_with_sync=0.2911188, each_train_time_with_sync=0.0995232, total_train_time_wo_sync=0.2119675, each_train_time_wo_sync=0.0708977, train_loss=0.0628965, test_loss=0.0628965
epoch=04, total_train_time_with_sync=0.3920252, each_train_time_with_sync=0.1009063, total_train_time_wo_sync=0.2811113, each_train_time_wo_sync=0.0691438, train_loss=0.0554236, test_loss=0.0554237
epoch=05, total_train_time_with_sync=0.4825234, each_train_time_with_sync=0.0904980, total_train_time_wo_sync=0.3520746, each_train_time_wo_sync=0.0709633, train_loss=0.0504831, test_loss=0.0504831
epoch=06, total_train_time_with_sync=0.5741106, each_train_time_with_sync=0.0915871, total_train_time_wo_sync=0.4226774, each_train_time_wo_sync=0.0706028, train_loss=0.0469966, test_loss=0.0469966
epoch=07, total_train_time_with_sync=0.6659791, each_train_time_with_sync=0.0918683, total_train_time_wo_sync=0.4933938, each_train_time_wo_sync=0.0707164, train_loss=0.0444085, test_loss=0.0444085
epoch=08, total_train_time_with_sync=0.7632616, each_train_time_with_sync=0.0972824, total_train_time_wo_sync=0.5629602, each_train_time_wo_sync=0.0695664, train_loss=0.0424055, test_loss=0.0424055
epoch=09, total_train_time_with_sync=0.8529270, each_train_time_with_sync=0.0896652, total_train_time_wo_sync=0.6341389, each_train_time_wo_sync=0.0711786, train_loss=0.0407994, test_loss=0.0407994
epoch=10, total_train_time_with_sync=0.9428627, each_train_time_with_sync=0.0899356, total_train_time_wo_sync=0.7065054, each_train_time_wo_sync=0.0723665, train_loss=0.0394720, test_loss=0.0394720
epoch=11, total_train_time_with_sync=1.0455620, each_train_time_with_sync=0.1026991, total_train_time_wo_sync=0.7768384, each_train_time_wo_sync=0.0703330, train_loss=0.0383464, test_loss=0.0383464
epoch=12, total_train_time_with_sync=1.1488692, each_train_time_with_sync=0.1033071, total_train_time_wo_sync=0.8508234, each_train_time_wo_sync=0.0739850, train_loss=0.0373714, test_loss=0.0373714
epoch=13, total_train_time_with_sync=1.2503839, each_train_time_with_sync=0.1015145, total_train_time_wo_sync=0.9232194, each_train_time_wo_sync=0.0723960, train_loss=0.0365116, test_loss=0.0365116
epoch=14, total_train_time_with_sync=1.3409252, each_train_time_with_sync=0.0905411, total_train_time_wo_sync=0.9928344, each_train_time_wo_sync=0.0696150, train_loss=0.0357423, test_loss=0.0357423
